toilet, 600 330 456 103 
toilet paper, 330 287 193 156 
shower, 338 2 479 2 
loopaper, 397 358 444 419 
shampoo, 148 133 338 303 
shampoo, 162 142 336 284 
shampoo, 174 158 337 284 
shampoo, 193 175 340 300 
doorknob, 303 268 121 75 
handle, 50 8 437 341 
Tile., 126 6 301 123 
Hose, 58 5 71 8 
tile, 235 170 298 127 
tile, 156 110 262 115 
tile, 107 5 152 6 
tile, 141 91 122 6 
tile, 170 129 127 4 
tile, 226 161 146 4 
tile, 456 413 101 1 
tile, 135 37 371 264 
tile, 240 185 371 268 
tile, 180 141 266 118 
tile, 312 253 309 141 
tile, 309 247 157 2 
