ceiling, 2113 3 219 3 
wall, 1064 2 1263 137 
wall, 2591 1055 1636 2 
outlet, 64 30 1152 1096 
sofa crop, 2591 1987 1839 1048 
floor, 2591 2 1944 1140 
bed, 1971 353 1659 670 
alarm clock, 2212 2090 1164 1109 
lamp, 1201 994 947 615 
lamp, 2148 1811 1136 645 
lamp, 1651 1479 580 468 
lamp, 1953 1823 562 432 
table, 2444 1509 1941 1444 
night table occluded, 1172 976 982 923 
night table, 2249 1758 1444 1083 
pillow, 1568 1201 1059 781 
pillow, 1817 1509 1095 817 
curtain, 953 757 888 320 
curtain, 195 12 941 266 
book, 2178 1836 1644 1513 
air condition, 671 212 1222 977 
window, 751 193 937 289 
