bed, 236 75 188 92 
rug, 256 0 244 167 
window, 135 110 55 23 
window, 184 154 52 19 
window, 241 206 47 11 
window, 240 204 94 61 
window, 184 154 95 63 
window, 45 32 53 20 
window, 47 32 117 64 
night stand dresser, 255 224 175 131 
mirror, 25 1 115 64 
dresser, 52 1 173 115 
wardrobe, 103 56 156 73 
vase, 92 81 75 62 
door, 134 110 130 67 
lamp, 255 245 124 103 
bouquet, 45 23 118 87 
sleepers, 225 201 187 181 
plant, 255 225 99 63 
pillow, 177 147 129 116 
pillow, 189 173 133 119 
pillow, 202 192 122 116 
pillow, 228 191 135 116 
foot board, 167 77 187 133 
head board, 233 151 118 96 
ceiling, 165 37 15 2 
