painting, 200 151 73 9 
bed, 233 11 254 80 
lamp, 254 226 153 101 
lamp, 32 19 90 69 
night stand table, 254 222 224 148 
pillow, 195 159 145 119 
pillow, 154 118 142 118 
pillow, 185 148 154 138 
pillow, 161 129 149 125 
pillow, 50 30 130 121 
pillow, 23 1 132 110 
pillow, 58 35 126 105 
pillow, 34 17 128 111 
pillow, 224 162 160 113 
pillow, 165 128 115 101 
pillow, 219 177 119 107 
small table, 112 64 151 129 
plant, 92 72 136 110 
curtain, 136 80 123 12 
curtain, 256 217 112 0 
curtain, 72 1 149 11 
cabinet, 63 1 183 138 
mirror, 17 1 106 56 
doll, 109 43 255 212 
ceiling, 157 1 21 0 
ceiling, 122 3 15 0 
window, 115 96 134 50 
window, 256 246 146 38 
cushion, 62 1 145 127 
