fireplace, 185 13 688 427 
window, 518 414 472 166 
coat rack, 753 728 542 289 
pillow, 902 768 567 446 
pillow, 1002 901 407 373 
pillow, 1125 1009 445 381 
pillow, 1061 1002 376 354 
pillow, 1029 929 377 337 
pillow, 1162 1059 437 340 
pillow, 1201 1062 433 336 
pillow, 1051 889 408 337 
cushion, 621 529 570 553 
ottoman, 634 506 701 588 
chair, 229 1 900 672 
basket, 304 143 227 176 
roman shade, 506 425 296 172 
plant, 1095 1012 239 194 
mounted fish, 1152 953 316 227 
wall lamp, 932 880 324 265 
wall lamp, 1200 1154 316 256 
decorative globe, 850 806 412 353 
picture, 561 528 294 253 
picture, 561 528 342 303 
picture, 561 527 390 351 
ore, 395 313 632 257 
chimney, 397 2 775 1 
shovel, 309 269 644 382 
poker, 291 252 652 481 
fishing pole, 369 316 629 320 
book, 505 420 648 616 
book, 494 341 692 641 
book, 230 109 825 767 
ceiling, 1200 510 164 1 
rug, 1200 1152 789 625 
rug, 1201 1113 900 843 
blanket, 651 394 901 662 
blanket, 1126 928 557 403 
cooler, 513 421 620 559 
chest, 597 247 895 617 
glasses, 193 118 804 757 
glass, 187 149 775 711 
bench, 834 689 631 549 
rocking chair, 681 478 668 419 
wall, 1200 193 635 1 
light, 386 356 331 255 
sofa, 1173 339 900 494 
foot board, 990 754 544 442 
bedskirt, 1200 1137 625 506 
sheets, 1200 1121 508 426 
comforter, 1170 671 557 410 
