night table, 206 77 391 255 
clock, 123 84 273 248 
photograph, 183 148 260 232 
photograph, 502 480 210 191 
lamp, 190 133 230 165 
magazine, 193 136 323 297 
bed, 639 185 479 82 
window cro, 637 560 208 2 
radiator occluded, 639 555 245 197 
picture, 161 71 93 1 
poster, 495 450 85 10 
door, 53 2 409 1 
lamp occluded, 467 442 179 146 
pillow occluded, 334 229 231 149 
pillow occluded, 459 343 212 141 
cushion, 414 302 240 159 
wall, 640 523 335 2 
wall, 530 7 375 2 
floor, 639 2 479 255 
furniture crop, 639 587 478 416 
