painting, 251 208 98 67 
globe, 210 190 155 126 
toy, 99 35 235 206 
toy, 61 0 189 160 
toy, 170 152 187 169 
toy, 239 216 254 237 
toy, 136 125 84 70 
bed, 167 32 183 125 
window, 69 15 129 78 
table, 234 135 238 154 
table, 109 0 233 164 
shelves, 188 92 108 42 
ceiling lamp, 62 45 17 3 
rug, 133 77 216 180 
chair, 255 203 253 182 
cabinet, 119 23 256 222 
pillow, 254 222 154 133 
pillow, 161 122 137 124 
mattress, 155 60 166 135 
curtain, 81 8 82 24 
doll, 39 33 129 105 
doll, 58 49 131 107 
doll, 69 63 131 107 
teddy bear, 115 103 139 124 
teddy bear, 137 131 101 91 
books, 190 170 151 128 
box, 196 164 194 183 
toys, 169 144 101 91 
toys, 165 149 85 76 
toys, 118 101 53 39 
toys, 120 100 70 61 
toys, 120 100 86 76 
toys, 118 99 100 93 
hanging toy, 144 121 10 1 
ceiling, 255 0 34 0 
