closet, 831 0 1048 145 
wall, 831 0 214 0 
bag, 135 6 206 12 
basket, 429 125 200 6 
suitcase, 825 492 165 2 
purse, 429 261 931 831 
purse, 717 639 427 225 
purse, 821 711 423 243 
shirt, 731 615 1040 558 
dress, 829 676 1046 584 
rail, 825 623 503 486 
hanger, 772 727 599 488 
shoes, 133 61 390 347 
shoes, 129 67 486 441 
shoes, 127 59 582 535 
shoes, 151 14 954 872 
shoes, 151 18 856 801 
shoes, 212 139 680 621 
shoes, 214 143 582 531 
shoes, 135 63 298 247 
shoes, 123 63 678 629 
shoes, 127 59 776 721 
glasses, 357 290 946 915 
