ceiling, 335 20 25 0 
closet, 336 7 280 43 
shirts, 137 65 150 76 
dress, 305 238 218 111 
jackets, 136 67 238 167 
trousers, 68 47 250 197 
basket, 56 10 49 17 
basket, 206 171 62 39 
suitcase, 266 219 62 48 
suitcase, 261 223 47 34 
cushion, 114 85 62 34 
T-shirts, 265 237 96 82 
wall, 407 46 268 0 
wall, 46 0 253 1 
picture, 386 361 87 54 
picture, 386 361 123 93 
floor, 406 0 320 228 
seat, 309 110 318 237 
furniture, 407 356 295 181 
bag, 172 156 62 40 
shoes, 185 139 162 153 
shoes, 186 141 175 166 
shoes, 186 139 187 178 
boxs, 336 296 63 31 
