ceiling, 490 2 23 0 
closet, 488 6 351 56 
photo, 178 156 66 44 
photo, 205 182 65 45 
photo, 284 255 213 182 
photo, 359 339 212 194 
box occluded, 127 61 65 44 
jacket, 98 0 204 85 
trousers, 74 23 349 269 
trousers, 470 394 355 256 
shirt, 492 394 213 87 
shirts, 368 336 126 109 
shirts, 329 298 126 109 
shirts, 366 334 151 129 
shirts, 329 299 151 136 
T-shirts, 200 162 181 166 
T-shirts, 161 124 181 169 
T-shirts, 372 330 180 168 
dress, 119 95 294 164 
book, 225 214 160 129 
hangers, 478 392 270 223 
shoes, 358 326 290 271 
shoes, 367 336 309 292 
purse, 169 151 309 276 
purse, 184 171 308 279 
purse, 202 185 307 277 
sweaters, 164 125 125 108 
vase, 234 223 212 186 
flowers, 245 217 187 174 
wall, 49 0 375 0 
wall, 450 46 341 22 
wal, 492 444 374 0 
floor, 479 18 375 339 
sweater, 204 158 100 89 
