oven, 208 173 129 101 
bowl, 153 131 133 120 
bowl, 132 117 102 92 
bowl, 106 88 124 116 
bowl, 132 114 132 124 
chair, 76 26 228 126 
chair, 28 0 205 140 
cabinets, 136 1 109 31 
counter, 184 1 143 106 
counter, 231 183 151 136 
counter, 144 56 111 97 
cabinet, 218 156 77 37 
cabinet, 255 228 148 36 
cabinet, 226 208 137 98 
cabinet, 181 119 219 136 
cabinet, 172 155 126 100 
plate, 77 53 132 123 
plate, 110 85 131 124 
plate, 37 18 123 117 
plate, 200 184 200 191 
shelf, 227 181 181 171 
pot, 222 200 194 180 
pot, 198 187 96 88 
pot, 220 184 173 154 
spoon, 135 124 120 106 
fruit bowl, 34 16 119 107 
plant, 218 190 36 21 
plant, 43 6 35 21 
plant, 131 104 33 19 
plant, 102 58 33 17 
plant, 115 102 103 83 
box, 169 150 131 114 
vase, 213 202 89 78 
stove, 206 165 99 93 
bottles, 48 32 109 94 
ceiling, 255 0 19 0 
toaster, 12 2 112 99 
coffee maker, 26 16 105 93 
bottle, 178 170 95 84 
floor, 254 0 254 139 
