window, 138 48 108 62 
chair, 104 33 255 169 
chair back, 250 153 255 217 
cabinet, 255 142 101 31 
cabinet, 256 212 195 141 
cabinet, 65 27 197 135 
cabinet, 256 142 100 30 
cabinet, 171 105 164 130 
door, 15 1 213 39 
table, 255 86 232 169 
bouquet, 199 136 200 146 
plate, 195 153 221 205 
plate, 127 91 202 188 
plate, 244 212 195 183 
plate, 235 219 140 134 
plate, 254 238 141 136 
glass, 210 195 211 194 
glass, 211 200 183 169 
glass, 133 124 204 185 
glass, 170 164 125 117 
basket, 126 93 185 167 
dishwaher, 103 63 196 136 
fruit bowl, 92 78 133 117 
basket fruits, 160 136 127 114 
oven, 211 171 169 131 
ceiling, 255 0 34 1 
place mat, 221 137 227 206 
place mat, 131 91 207 184 
place mat, 255 205 202 180 
microwave, 224 192 96 77 
plant, 58 45 134 90 
plant, 66 57 134 101 
utensils, 208 195 222 211 
chair top, 140 110 173 147 
dish towel, 80 61 144 131 
counter, 193 151 133 122 
counter, 107 31 141 124 
pot, 229 210 132 113 
pot, 210 201 134 125 
sink, 143 100 130 123 
sink faucet, 132 113 125 111 
coffee maker, 195 176 132 114 
scale, 76 61 130 115 
jars, 135 118 109 100 
door knob, 12 5 150 131 
stove, 235 174 148 115 
