fridge occluded, 107 2 332 34 
cupboard, 168 2 88 1 
cupboard, 235 169 85 1 
cupboard, 150 96 307 168 
cupboard, 209 142 317 167 
cupboard, 368 322 341 206 
microwave, 368 236 88 2 
cupboard crop, 510 360 82 2 
cupboard crop, 510 491 341 241 
blender, 164 138 147 96 
stove, 389 194 341 116 
dishwasher, 495 369 341 215 
coffee marker, 510 491 199 109 
teapot, 482 421 186 147 
teapot, 359 319 184 137 
pot, 416 390 176 135 
cutlery, 430 393 138 104 
knives, 245 222 155 99 
worktop, 268 92 181 139 
worktop, 510 319 244 168 
wall, 510 165 326 1 
wall, 174 2 302 1 
floor, 507 2 339 277 
tray, 222 189 133 91 
