coffee maker, 105 88 119 102 
oven, 180 118 192 113 
oven, 176 119 194 133 
counter, 129 79 126 114 
counter, 255 179 177 118 
counter, 71 27 144 121 
refridgerator, 26 0 239 58 
microwave, 51 27 127 101 
sink, 255 205 146 131 
ceiling, 253 26 15 0 
floor, 198 1 254 185 
stove, 181 119 130 114 
bowls, 219 208 98 87 
plates, 254 237 99 94 
plates, 205 188 98 90 
plates, 232 220 99 92 
plates, 253 233 77 69 
bowl, 221 200 78 68 
hood, 182 127 71 57 
jars, 115 89 76 68 
shelves, 254 88 103 10 
shelves, 55 0 98 1 
shelves, 115 77 184 127 
shelves, 68 27 215 130 
cabinet, 214 177 202 135 
cabinet, 256 197 254 177 
can, 37 30 206 185 
can, 58 47 167 150 
vase, 141 130 55 39 
pot, 101 90 57 38 
