clock, 195 168 36 9 
refridgerator, 72 1 255 68 
dish towel, 93 70 255 210 
oven, 118 93 255 171 
ceiling, 255 39 31 1 
coffee maker, 238 216 146 113 
window, 222 144 76 42 
curtain, 225 139 124 77 
dish rack, 157 112 150 117 
sink, 214 148 152 138 
sink faucet, 189 174 145 127 
bottles, 172 157 143 119 
cup, 251 241 145 127 
can, 101 91 152 140 
kettle, 91 70 188 154 
hood, 94 68 100 74 
bouquet, 30 1 63 13 
cabinets, 256 0 112 0 
cabinets, 206 120 246 157 
dishwasher, 255 209 245 159 
stove, 119 86 192 164 
pan, 109 82 174 159 
paper, 57 40 135 100 
papers, 40 15 118 70 
papers, 25 4 201 141 
papers, 39 24 197 133 
papers, 53 36 185 135 
counter, 255 83 163 138 
counter, 90 71 210 190 
floor, 254 121 255 239 
