microwave, 435 289 716 624 
bowl, 255 174 740 706 
oven, 989 766 989 769 
pot, 797 700 724 667 
pot, 1465 1430 352 321 
pot, 1500 1471 354 318 
stovetop, 1138 671 764 713 
picture, 1037 759 324 110 
teapot, 1498 1429 441 390 
candle, 593 569 343 244 
candle, 1231 1208 318 216 
vase, 534 492 459 383 
vase, 527 493 380 338 
sink, 1597 1447 862 827 
potted herb, 676 611 337 243 
potted herb, 1176 1105 323 221 
glassware, 1364 1318 501 306 
bowls, 1358 1323 506 472 
light, 839 811 465 450 
light, 1039 1000 456 444 
jar, 1090 1050 329 287 
cabinets, 379 3 1147 753 
cabinets, 1567 373 1102 751 
cabinets, 558 4 755 133 
table *X, 1196 5 1196 1133 
counter, 1597 1360 1201 797 
urn, 1486 1438 537 505 
phone, 1480 1433 697 574 
light switch, 1532 1480 621 574 
outlet, 1375 1332 694 629 
candle stick holder, 519 500 514 478 
cabinet, 1601 1523 563 2 
cabinet, 1548 1275 569 200 
cabinet, 1271 537 750 324 
cabinet, 1522 1357 1201 1051 
mug, 740 678 339 294 
utencil canister, 554 467 736 620 
ceiling, 533 218 49 4 
ceiling, 1102 127 69 4 
counter top, 668 2 809 728 
counter top, 1575 1137 769 711 
wall, 1558 3 749 0 
floor, 1357 134 1201 1035 
curtain, 1601 1562 795 560 
handle, 692 658 855 835 
