fireplace, 239 143 149 61 
fireplace, 238 145 154 85 
door, 86 54 140 62 
armchair, 254 156 250 133 
rug, 199 83 255 158 
window, 6 0 109 77 
framed picture, 23 10 93 85 
ceiling lamp, 97 93 36 34 
pillow, 99 42 165 135 
pillow, 43 0 167 133 
cabinets, 55 29 136 103 
sofa, 124 1 248 133 
wardrobe, 139 94 139 67 
clock, 196 176 83 79 
clock, 198 178 85 77 
candles, 221 214 83 72 
candles, 161 155 85 73 
vase, 154 145 84 68 
vase, 236 224 83 63 
plant, 165 145 149 122 
ceiling, 254 0 46 1 
ottoman, 148 95 174 137 
small table part, 255 239 135 121 
chaise lounge, 65 0 148 115 
