coffee table, 937 514 741 563 
chair, 899 624 593 410 
chair, 606 512 469 323 
chair, 327 171 547 349 
chair, 362 150 743 430 
chair, 338 75 836 472 
rug, 998 402 741 639 
rug, 675 461 489 407 
picture, 996 840 254 107 
picture, 670 463 279 126 
couch, 1161 950 711 443 
doorway, 691 455 502 43 
door, 463 337 500 52 
door, 803 680 404 50 
door, 40 2 900 1 
door, 1200 1143 899 1 
chairs, 682 456 448 323 
chairs, 680 455 321 308 
figurine, 1152 1108 303 270 
figurine, 1103 1074 460 395 
figurines, 1156 1113 220 184 
figurines, 141 98 387 348 
set of figurines, 862 743 597 549 
box, 799 717 646 605 
statue, 1151 1104 137 65 
plant, 1069 841 524 279 
flowers, 586 530 322 272 
stack of books, 650 537 603 558 
vase, 390 335 393 355 
sofa, 1163 285 899 699 
desk, 416 16 576 380 
lamp, 110 22 396 286 
sculpture, 270 231 298 119 
object, 181 137 394 382 
wall, 1158 22 506 1 
