sofa, 1024 695 768 382 
vase, 870 824 433 382 
flowers, 689 125 765 409 
chair, 362 283 398 258 
chair, 207 78 432 274 
chair, 89 30 390 259 
table top, 685 165 768 554 
table, 284 112 394 259 
lamp, 584 551 346 83 
lamp, 300 276 249 82 
bench, 771 607 425 305 
window, 955 912 305 1 
window, 616 594 206 1 
window, 265 240 249 1 
sculpture, 518 343 287 142 
piano, 847 574 409 98 
light switch, 190 171 246 232 
bowl, 224 192 262 250 
telephone, 167 111 263 252 
jar of pens, 154 129 248 237 
piano pedels, 716 674 381 358 
book, 268 224 262 251 
brick, 162 2 768 669 
rug, 749 527 768 511 
wall, 1025 618 431 1 
wall, 591 538 342 1 
wall, 320 265 254 1 
wall, 237 2 366 1 
door, 539 521 338 1 
door, 344 321 256 1 
floor, 963 2 769 339 
