picture, 228 127 443 335 
couch, 583 218 890 554 
television, 117 26 619 577 
seat, 1077 929 874 747 
seat, 1197 1069 839 677 
seat, 1199 1146 897 778 
table, 140 3 809 653 
cage, 220 177 678 648 
lightbulb, 205 187 671 658 
lamp, 245 141 680 648 
wagon, 109 1 648 514 
light, 193 177 231 216 
light, 99 53 169 155 
light, 296 272 76 67 
light, 1089 1053 113 95 
light, 1151 1102 68 44 
rug, 324 1 900 712 
blanket, 610 469 738 551 
art, 982 906 553 305 
art, 588 529 443 394 
railing, 1102 533 630 209 
drawer, 471 424 493 475 
counter, 494 391 588 469 
bottles, 1053 909 670 599 
cushion, 542 297 645 602 
cushion, 297 208 792 680 
cushion, 565 479 642 573 
light switch, 242 220 482 452 
bowl of flowers, 468 432 471 449 
wood floor, 1134 597 689 568 
wood floor, 299 250 685 651 
ceiling, 550 343 317 165 
ceiling, 1200 2 198 1 
ceiling, 1004 841 319 217 
floor, 1159 158 901 690 
wall, 1201 842 686 132 
wall, 392 265 606 166 
wall, 1006 391 567 168 
wall, 299 2 660 199 
door, 1103 1011 386 169 
stair case, 1101 582 639 384 
