wall art, 617 461 155 1 
plate, 606 483 267 155 
plate, 432 359 50 1 
plate, 705 634 40 1 
plate, 768 713 88 23 
plate, 705 640 130 57 
plate, 701 642 210 150 
plate, 434 371 223 162 
plate, 435 362 140 64 
plate, 352 291 81 22 
plate, 865 764 533 509 
books, 728 553 546 481 
coffee table, 1025 470 741 473 
flowers, 89 5 535 338 
end table, 158 3 768 512 
box, 102 36 537 497 
pillow, 222 30 517 355 
pillow, 849 652 450 302 
pillow, 521 327 477 280 
pillow, 413 302 493 375 
pillow, 663 504 459 355 
pillow, 963 816 433 287 
armchair, 364 3 768 351 
throw *blanket, 907 568 768 563 
fruit bowl, 1025 854 524 369 
couch, 1025 191 645 267 
tree, 1025 834 205 7 
ottoman, 1009 513 768 615 
door, 125 36 371 7 
door handle, 50 36 215 205 
wall, 1025 122 437 1 
wall, 23 2 252 2 
rug, 1025 2 769 618 
basket, 1025 1009 491 431 
apple, 979 951 400 393 
apple, 1015 974 401 378 
apple, 978 942 396 368 
apple, 943 926 392 378 
apple, 950 922 400 392 
apple, 929 895 401 383 
