ceiling, 379 80 64 1 
light, 241 223 50 40 
floor, 380 66 391 252 
wall, 481 356 238 1 
wall, 123 2 207 1 
wall, 354 123 190 61 
chair, 78 2 391 234 
chair, 252 145 354 206 
painting, 481 423 145 1 
painting, 417 378 149 48 
painting, 348 314 137 106 
painting, 160 129 152 100 
painting, 115 98 120 85 
painting, 117 98 157 121 
window, 96 2 205 3 
window, 306 163 190 60 
curtain, 94 2 87 3 
curtain, 309 164 98 60 
radio, 429 375 225 182 
plant, 380 327 202 155 
birdcage, 344 322 194 157 
typewriter, 303 253 195 177 
box, 243 217 192 179 
printer, 165 121 193 172 
printer, 23 2 233 191 
adding machine, 130 105 196 183 
keyboard, 147 106 226 211 
monitor, 107 36 211 158 
desk, 324 2 261 185 
cabinets, 500 327 389 188 
counter, 498 329 320 188 
sculpyure, 311 280 272 227 
