monitor, 221 198 109 85 
book, 179 116 155 135 
chair, 186 129 136 67 
table, 242 78 244 133 
desk counter top, 256 167 152 108 
lamp, 206 190 35 18 
lamp, 254 226 79 67 
cabinets, 126 1 175 12 
keyboard, 226 196 121 112 
plant, 199 184 107 58 
desk mat, 254 199 137 117 
vase, 253 243 142 110 
cup, 240 231 142 125 
cup, 215 207 139 127 
papers, 241 219 112 106 
desk, 256 78 245 101 
window, 247 219 109 0 
window, 183 162 104 0 
window, 143 132 68 0 
books, 78 59 76 62 
books, 80 59 108 90 
books, 77 58 46 25 
