ceiling, 256 75 40 0 
armchair, 232 170 218 129 
armchair occluded, 171 112 218 130 
armchair occluded, 118 0 256 141 
armchair occluded, 122 78 155 115 
armchair crop, 255 234 240 159 
mirror, 175 133 102 63 
door occluded, 100 91 143 60 
switch, 202 197 99 93 
plants, 255 206 174 11 
wall, 256 212 176 5 
wall, 211 90 170 36 
wall, 91 0 255 0 
picture, 69 2 148 1 
picture, 90 70 115 29 
lamp, 129 117 16 12 
lamp, 130 122 28 24 
lamp, 131 122 36 33 
lamp, 206 196 17 12 
lamp, 194 185 29 24 
lamp, 177 168 19 15 
lamp, 165 158 41 34 
lamp, 161 156 49 43 
floor, 255 18 255 167 
